Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
65,Christian McCaffrey,SF,RB,14,,33,16,178.7,34.3,325.5,,,,,,,,,,,,4669,55050,830517
66,George Kittle,SF,TE,14,Q,22,4,178.6,88.7,269.9,14.2,14.5,81.7,0,0,3,6.7,29,73.7,13.6,13.7,4667,39793,733672
67,Calvin Ridley,TEN,WR,10,,66,24,177,90.4,265.8,13.8,6.2,80.7,0.3,0,7,6.3,53,78.3,21.2,13.8,5024,64555,884013
68,Chuba Hubbard,CAR,RB,14,,35,17,175.3,31.9,322.7,32.5,,165,2,0,,30,,84,,52.6,28131,87467,1062047
69,Terry McLaurin,WAS,WR,12,,69,25,175,86.9,266.8,12.9,18.7,42.3,0.7,0,12,8.3,91,88,22.6,14.2,27017,56250,836116
70,Jerry Jeudy,CLE,WR,9,,71,26,173.1,81,269.5,12.6,17.4,59,0,0,13,11.3,95,96,23.2,23.3,27458,90561,973935
71,Chase Brown,CIN,RB,10,Q,39,18,171.8,41.3,304.6,13.5,0.8,100,0,0,,22.5,,81,,32.9,29324,,1123379
72,Stefon Diggs,NE,WR,14,,73,27,170.9,85.5,260.2,,,,,,,,,,,,3989,25079,694041
73,Tony Pollard,TEN,RB,10,Q,46,19,169.2,29.9,311.5,7.1,1.8,51,0,0,22,17,73,56,48.9,49.5,27039,63759,880398
74,Jordan Addison,MIN,WR,6,,76,28,169.2,78,261.8,11.5,17.9,34.7,0.7,0,6,7.3,89,89.3,10.3,12.1,29184,,1214250
75,Tee Higgins,CIN,WR,10,Q,77,29,168.3,80.2,260.7,23.1,30.8,80.7,1.3,0.3,5,9.3,68,68.5,10,14.7,27476,89981,978579
76,DeVonta Smith,PHI,WR,9,,80,30,166.6,77.6,257.8,20.6,18.9,85.5,1,0,,7.5,,81,,13.3,28015,90576,1060262
77,D'Andre Swift,CHI,RB,5,,48,20,165.9,30.6,304.5,11,4.2,66.3,0.3,0,22,17,79,72.7,44.9,37.6,27478,91598,1069808
78,Josh Downs,IND,WR,11,,81,31,165.6,73,260.8,13.2,14.2,59,0.3,0,13,7,76,65,22,13.9,29240,,1215077
79,Cam Ward,TEN,QB,10,,142,24,165.1,43.4,285.6,,,,,,,,,,,,30297,,
80,George Pickens,DAL,WR,10,,84,32,164.5,74.5,256.3,4.5,7,25,0,0,6,6.5,92,91.5,10.7,10.5,28656,110246,1172053
81,Ashton Jeanty,LVR,RB,8,,60,21,161.6,53.1,263,,,,,,,,,,,,30302,,
82,Michael Penix,ATL,QB,5,,146,25,161.5,0,417.7,12.9,18.6,249.3,1.3,1.7,39,35.7,100,100,49.4,51.2,29994,,1107478
83,Xavier Worthy,KC,WR,10,,87,33,161.2,63.6,263.5,14.5,22.9,54.7,0.7,0,0,8.3,3,56,0,14.8,30006,,1326638
84,Sam LaPorta,DET,TE,8,,37,5,160.7,75.2,247.4,15.3,5.1,56.7,0.7,0,7,7.3,100,95,10.3,11.4,29195,,1168926
85,Jauan Jennings,SF,WR,14,,89,34,159.3,70.7,249.6,11,3.1,56.7,0,0.3,10,8.7,33,73.7,40,22.2,27659,61593,867009
86,Rome Odunze,CHI,WR,5,,93,35,158.1,64.5,255.2,5.3,7.2,36.7,0,0.3,2,4.3,89,88,3.6,8,29995,,1213727
87,Michael Pittman Jr.,IND,WR,11,,96,36,156.4,71.4,245.6,14.3,22,66.7,0.3,0,10,7.7,91,94.3,14.1,11,27477,,
88,Najee Harris,LAC,RB,12,,64,22,155.9,24.7,289.7,10,11.4,59.7,0.3,0,17,14.7,49,40.7,56.7,55.2,28029,90575,973964
89,Aaron Jones,MIN,RB,6,,65,23,155.8,26,288.8,12.2,0.8,81.7,0,0,16,18.7,62,65,40,42.8,4769,40442,741314
90,Tyrone Tracy Jr.,NYG,RB,14,,68,24,154.5,36.1,274.1,10.9,9.6,69.3,0.3,0.3,16,16.7,60,63,50,47.3,29917,,1109708
91,Chris Olave,NO,WR,11,Q,97,37,154,70,240.4,,,,,,,,,,,,28615,87770,1122592
92,Jaylen Waddle,MIA,WR,12,Q,98,38,153.9,63,252.3,9,,50,0,0,10,10,90,90,15.9,15.9,28011,90573,1125749
93,Travis Etienne,JAX,RB,8,,70,25,153.5,26.8,282.9,7.7,3.3,57.3,0,0,18,15.7,43,47.7,60,51.7,28030,89956,978577
94,Rashee Rice,KC,WR,10,,99,39,152.7,64.7,243.2,,,,,,,,,,,,29216,,1173538
95,Chris Godwin,TB,WR,9,,101,40,151.4,59.8,249.2,,,,,,,,,,,,4724,55635,835127
96,Jonnu Smith,PIT,TE,5,,54,6,150.6,64.6,238.5,14.1,7,48,0.7,0.3,12,7.3,60,54.3,28.6,19.5,4631,48116,743749
97,Brian Robinson Jr.,WAS,RB,12,,74,26,150,30.6,272.5,4.5,6.8,42,0,0.7,6,11.3,40,52.3,26.1,29.9,28701,90562,973966
98,Brandon Aiyuk,SF,WR,14,,103,41,149,53.5,249.5,,,,,,,,,,,,27468,85798,1107034
99,Darnell Mooney,ATL,WR,5,Q,105,42,145.6,63.3,230,9.5,7.5,59.5,0,0,,5.5,,93.5,,9.1,27615,69777,912027
100,Cooper Kupp,SEA,WR,8,,106,43,145.4,66,231.2,4.7,1.5,26.5,0,0,,3,,80.5,,6.8,4647,79970,698227
101,Khalil Shakir,BUF,WR,7,,107,44,145.1,59.3,233.4,3.9,3.3,23.5,0,0.5,,6,,68,,13.8,28750,86518,1130603
102,Russell Wilson,NYG,QB,14,,157,26,143.2,33.8,278.5,14.2,4.2,222.7,1.3,1.3,35,38,100,100,57.4,58.2,2716,22015,401534
103,Deebo Samuel,WAS,WR,12,,110,45,143,53.8,241,16.1,18,71,1,0.5,,9,,83,,16.9,27061,56018,835749
104,Adam Thielen,CAR,WR,14,,111,46,142.7,64.4,223.1,17.6,18.6,65.7,1,0,6,6,76,73.3,11.8,13.9,3518,39716,733643
105,Wan'Dale Robinson,NYG,WR,14,,112,47,142.6,57.5,231.7,15.2,4.9,58.7,0.3,0,11,9.7,74,77,28.2,22.2,28647,103539,1164875
106,Jameson Williams,DET,WR,8,,114,48,141.6,50.3,236.6,20,16.6,86.3,1,0,8,8.7,81,81,14.5,15.7,28616,111631,1175184
107,Tetairoa McMillan,CAR,WR,14,,116,49,139.6,77.9,223.5,,,,,,,,,,,,30304,,
108,Rhamondre Stevenson,NE,RB,14,,95,27,137.6,24.9,253.6,6.2,12.2,37,0.5,0.5,,8,,44.5,,26.6,28125,111540,1174682
109,DeAndre Hopkins,BAL,WR,7,,120,50,134.6,59.8,211.6,5.2,5,22,0,0,,4,,48,,12.4,3115,16606,560241
110,Travis Hunter,JAX,WR,8,,122,51,134.2,71.3,215.2,,,,,,,,,,,,30298,,
111,Tyler Lockett,TEN,WR,10,,124,52,133,57.5,211.5,4.6,1.1,22.3,0,0,4,3.3,53,63.7,13.8,9.8,3784,27050,605242
112,Dalton Kincaid,BUF,TE,7,,82,7,131,48.2,215.5,5,1.1,19.5,0,0,,4.5,,39,,20.8,29186,,1135513
113,Joe Flacco,CLE,QB,9,,164,27,130.4,19.9,283.2,14.9,0.7,297.5,1.5,1.5,40,39.5,100,100,51.3,51,166,6714,216342
114,Mark Andrews,BAL,TE,7,,86,8,128.8,57.1,201.9,14.7,1.6,53.3,1,0,9,6,79,70.3,16.4,12.3,5083,52436,820699
115,Christian Kirk,HOU,WR,6,,128,53,127.6,47.7,211.8,,,,,,,,,,,,5044,60858,865801
116,Matthew Golden,GB,WR,5,,129,54,127.3,63.3,204.4,,,,,,,,,,,,30319,,
117,Romeo Doubs,GB,WR,5,,130,55,127.2,54.1,202.4,9.4,10.8,39,0,0,,7,,76.5,,13.4,28734,94370,1122653
118,Michael Wilson,ARI,WR,8,Q,131,56,126.3,47.7,206.9,6.7,0.5,36.5,0,0,,6,,88.5,,9,29255,,1123529
119,Spencer Rattler,NO,QB,11,,167,28,126.1,16.1,258.9,10.3,9.8,232,0.7,1.7,43,39,100,100,65.2,64.2,29789,,1174752
120,Bryce Young,CAR,QB,14,,168,29,126,28.8,245.5,25.5,23.5,237.3,3.3,0.7,39,33.3,100,100,58.2,55.9,29162,,1213257
121,Tucker Kraft,GB,TE,5,,91,9,124.9,50.2,201.2,8.1,2.2,51.3,0,0,7,5,95,81,11.3,9.5,29239,,1181874
122,Demario Douglas,NE,WR,14,,132,57,124.5,46.4,205.5,9.6,8.2,39.7,0.3,0,4,5,75,75.3,8.3,10.8,29371,,1175693
123,Quentin Johnston,LAC,WR,12,Q,133,58,124,45.2,204.8,15.4,26.8,84,0,0,14,9.3,73,70.5,25.5,20.1,29182,,1213865
124,T.J. Hockenson,MIN,TE,6,,94,10,123.8,48.7,200.7,6.5,8.9,34.7,0,0,8,6.3,78,72.3,15.7,12.9,26931,71706,923915
125,Alec Pierce,IND,WR,11,,134,59,122,46,199.6,19,10.5,89.5,1,0,2,5.5,82,88.5,3.1,7.7,28657,86312,1107027
126,Emeka Egbuka,TB,WR,9,,136,60,118.9,53.5,193.3,,,,,,,,,,,,30315,,
127,Evan Engram,DEN,TE,12,,100,11,118.4,43.8,195,,,,,,,,,,,,4679,41872,749185
128,Hunter Henry,NE,TE,14,Q,102,12,117.4,46.3,190.1,7,13.9,19.5,0.5,0,,5.5,,70.5,,10.8,4194,40845,744425
129,Jaylen Warren,PIT,RB,5,,117,28,117.2,23.1,215,10.2,14.1,75,0,0.3,7,13.7,38,52.7,30.4,38.5,28972,112057,1176443
130,Keon Coleman,BUF,WR,7,,139,61,117,33.2,203.3,6.8,9,28,0.3,0,11,6.7,97,84.3,16.9,11,30008,,1322431
131,Javonte Williams,DAL,RB,10,,121,29,116.3,16.9,221.3,8.4,10.3,43.7,0,0,9,8.7,31,34,39.1,24.1,28040,93541,1107881
